time,temperature_2m,relative_humidity_2m,precipitation
2026-09-29 18:00:00,23.8,80,0.3
2026-09-29 19:00:00,22.7,85,0.3
2026-09-29 20:00:00,21.8,90,0.3
2026-09-29 21:00:00,21.3,93,1.4
2026-09-29 22:00:00,20.9,95,1.4
2026-09-29 23:00:00,20.6,97,1.4
2026-09-30 00:00:00,20.4,98,0.9
2026-09-30 01:00:00,20.2,99,0.9
2026-09-30 02:00:00,20.1,99,0.9
2026-09-30 03:00:00,19.2,100,0.0
2026-09-30 04:00:00,19.3,100,0.0
2026-09-30 05:00:00,19.6,99,0.0
2026-09-30 06:00:00,20.5,94,0.1
2026-09-30 07:00:00,21.8,87,0.1
2026-09-30 08:00:00,23.4,79,0.1
2026-09-30 09:00:00,24.9,73,0.1
2026-09-30 10:00:00,26.2,68,0.1
2026-09-30 11:00:00,27.0,65,0.1
2026-09-30 12:00:00,27.2,64,0.2
2026-09-30 13:00:00,27.1,65,0.2
2026-09-30 14:00:00,26.7,67,0.2
2026-09-30 15:00:00,26.2,69,0.2
2026-09-30 16:00:00,25.6,71,0.2
2026-09-30 17:00:00,25.0,74,0.2
2026-09-30 18:00:00,24.3,76,0.1
2026-09-30 19:00:00,23.5,79,0.1
2026-09-30 20:00:00,22.6,83,0.1
2026-09-30 21:00:00,21.7,87,0.1
2026-09-30 22:00:00,20.9,90,0.1
2026-09-30 23:00:00,20.3,92,0.1
